Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes
"(16,12)","(2,25)",c2,DFS,True,4670,4803,1234
"(16,12)","(2,25)",c2,BFS,True,340,3526,906
"(16,12)","(2,25)",c2,Dijkstra,True,340,1801,918
"(16,12)","(2,25)",c3,DFS,True,4631,4803,1234
"(16,12)","(2,25)",c3,BFS,True,301,3526,906
"(16,12)","(2,25)",c3,Dijkstra,True,285,1793,914
"(16,12)","(2,25)",c4,DFS,True,4604,4803,1234
"(16,12)","(2,25)",c4,BFS,True,251,3526,906
"(16,12)","(2,25)",c4,Dijkstra,True,230,1775,904
"(0,28)","(27,9)",c1,DFS,True,8300,3264,831
"(0,28)","(27,9)",c1,BFS,True,460,3394,874
"(0,28)","(27,9)",c1,Dijkstra,True,460,1708,873
"(0,28)","(27,9)",c2,DFS,True,8435,3264,831
"(0,28)","(27,9)",c2,BFS,True,595,3394,874
"(0,28)","(27,9)",c2,Dijkstra,True,595,1740,890
"(0,28)","(27,9)",c3,DFS,True,8362,3264,831
"(0,28)","(27,9)",c3,BFS,True,526,3394,874
"(0,28)","(27,9)",c3,Dijkstra,True,493,1732,885
"(0,28)","(27,9)",c4,DFS,True,8303,3264,831
"(0,28)","(27,9)",c4,BFS,True,444,3394,874
"(0,28)","(27,9)",c4,Dijkstra,True,390,1713,875
"(15,24)","(0,15)",c1,DFS,True,4880,5191,1336
"(15,24)","(0,15)",c1,BFS,True,240,2700,691
"(15,24)","(0,15)",c1,Dijkstra,True,240,1403,702
"(15,24)","(0,15)",c2,DFS,True,4965,5191,1336
"(15,24)","(0,15)",c2,BFS,True,315,2700,691
"(15,24)","(0,15)",c2,Dijkstra,True,315,1565,788
"(15,24)","(0,15)",c3,DFS,True,4922,5191,1336
"(15,24)","(0,15)",c3,BFS,True,276,2700,691
"(15,24)","(0,15)",c3,Dijkstra,True,258,1478,741
"(15,24)","(0,15)",c4,DFS,True,4880,5191,1336
"(15,24)","(0,15)",c4,BFS,True,222,2700,691
"(15,24)","(0,15)",c4,Dijkstra,True,200,1321,663
"(22,19)","(16,29)",c1,DFS,True,2000,2365,616
"(22,19)","(16,29)",c1,BFS,True,160,1721,437
"(22,19)","(16,29)",c1,Dijkstra,True,160,914,445
"(22,19)","(16,29)",c2,DFS,True,2040,2365,616
"(22,19)","(16,29)",c2,BFS,True,190,1721,437
"(22,19)","(16,29)",c2,Dijkstra,True,190,866,421
"(22,19)","(16,29)",c3,DFS,True,2020,2365,616
"(22,19)","(16,29)",c3,BFS,True,169,1721,437
"(22,19)","(16,29)",c3,Dijkstra,True,163,857,417
"(22,19)","(16,29)",c4,DFS,True,1997,2365,616
"(22,19)","(16,29)",c4,BFS,True,163,1721,437
"(22,19)","(16,29)",c4,Dijkstra,True,139,882,430
"(12,1)","(11,13)",c1,DFS,True,750,4213,1083
"(12,1)","(11,13)",c1,BFS,True,130,790,205
"(12,1)","(11,13)",c1,Dijkstra,True,130,430,209
"(12,1)","(11,13)",c2,DFS,True,765,4213,1083
"(12,1)","(11,13)",c2,BFS,True,135,790,205
"(12,1)","(11,13)",c2,Dijkstra,True,135,313,149
"(12,1)","(11,13)",c3,DFS,True,759,4213,1083
"(12,1)","(11,13)",c3,BFS,True,133,790,205
"(12,1)","(11,13)",c3,Dijkstra,True,130,379,183
"(12,1)","(11,13)",c4,DFS,True,762,4213,1083
"(12,1)","(11,13)",c4,BFS,True,133,790,205
"(12,1)","(11,13)",c4,Dijkstra,True,125,502,246
"(19,10)","(20,17)",c1,DFS,True,340,135,35
"(19,10)","(20,17)",c1,BFS,True,80,569,143
"(19,10)","(20,17)",c1,Dijkstra,True,80,269,120
"(19,10)","(20,17)",c2,DFS,True,345,135,35
"(19,10)","(20,17)",c2,BFS,True,85,569,143
"(19,10)","(20,17)",c2,Dijkstra,True,85,231,102
"(19,10)","(20,17)",c3,DFS,True,345,135,35
"(19,10)","(20,17)",c3,BFS,True,83,569,143
"(19,10)","(20,17)",c3,Dijkstra,True,80,260,116
"(19,10)","(20,17)",c4,DFS,True,336,135,35
"(19,10)","(20,17)",c4,BFS,True,83,569,143
"(19,10)","(20,17)",c4,Dijkstra,True,76,325,148
"(23,4)","(23,21)",c1,DFS,True,170,69,18
"(23,4)","(23,21)",c1,BFS,True,170,1397,359
"(23,4)","(23,21)",c1,Dijkstra,True,170,725,358
"(23,4)","(23,21)",c2,DFS,True,170,69,18
"(23,4)","(23,21)",c2,BFS,True,170,1397,359
"(23,4)","(23,21)",c2,Dijkstra,True,170,538,263
"(23,4)","(23,21)",c3,DFS,True,170,69,18
"(23,4)","(23,21)",c3,BFS,True,170,1397,359
"(23,4)","(23,21)",c3,Dijkstra,True,170,642,317
"(23,4)","(23,21)",c4,DFS,True,170,69,18
"(23,4)","(23,21)",c4,BFS,True,170,1397,359
"(23,4)","(23,21)",c4,Dijkstra,True,170,796,395
"(7,11)","(4,30)",c1,DFS,True,1440,5730,1467
"(7,11)","(4,30)",c1,BFS,True,220,2479,633
"(7,11)","(4,30)",c1,Dijkstra,True,220,1268,629
"(7,11)","(4,30)",c2,DFS,True,1465,5730,1467
"(7,11)","(4,30)",c2,BFS,True,235,2479,633
"(7,11)","(4,30)",c2,Dijkstra,True,235,1068,531
"(7,11)","(4,30)",c3,DFS,True,1456,5730,1467
"(7,11)","(4,30)",c3,BFS,True,226,2479,633
"(7,11)","(4,30)",c3,Dijkstra,True,220,1186,590
"(7,11)","(4,30)",c4,DFS,True,1447,5730,1467
"(7,11)","(4,30)",c4,BFS,True,226,2479,633
"(7,11)","(4,30)",c4,Dijkstra,True,206,1427,711
"(23,13)","(1,4)",c1,DFS,True,7270,4176,1076
"(23,13)","(1,4)",c1,BFS,True,310,3455,888
"(23,13)","(1,4)",c1,Dijkstra,True,310,1745,889
"(23,13)","(1,4)",c2,DFS,True,7390,4176,1076
"(23,13)","(1,4)",c2,BFS,True,420,3455,888
"(23,13)","(1,4)",c2,Dijkstra,True,420,1782,909
"(23,13)","(1,4)",c3,DFS,True,7330,4176,1076
"(23,13)","(1,4)",c3,BFS,True,361,3455,888
"(23,13)","(1,4)",c3,Dijkstra,True,343,1770,902
"(23,13)","(1,4)",c4,DFS,True,7277,4176,1076
"(23,13)","(1,4)",c4,BFS,True,294,3455,888
"(23,13)","(1,4)",c4,Dijkstra,True,270,1763,898
"(11,21)","(26,12)",c1,DFS,True,4620,1819,463
"(11,21)","(26,12)",c1,BFS,True,240,2995,766
"(11,21)","(26,12)",c1,Dijkstra,True,240,1551,779
"(11,21)","(26,12)",c2,DFS,True,4695,1819,463
"(11,21)","(26,12)",c2,BFS,True,315,2995,766
"(11,21)","(26,12)",c2,Dijkstra,True,315,1593,801
"(11,21)","(26,12)",c3,DFS,True,4653,1819,463
"(11,21)","(26,12)",c3,BFS,True,276,2995,766
"(11,21)","(26,12)",c3,Dijkstra,True,258,1556,780
"(11,21)","(26,12)",c4,DFS,True,4625,1819,463
"(11,21)","(26,12)",c4,BFS,True,222,2995,766
"(11,21)","(26,12)",c4,Dijkstra,True,200,1462,730
"(29,21)","(18,26)",c1,DFS,True,3780,1537,399
"(29,21)","(18,26)",c1,BFS,True,160,1045,270
"(29,21)","(18,26)",c1,Dijkstra,True,160,547,270
"(29,21)","(18,26)",c2,DFS,True,3845,1537,399
"(29,21)","(18,26)",c2,BFS,True,215,1045,270
"(29,21)","(18,26)",c2,Dijkstra,True,215,623,309
"(29,21)","(18,26)",c3,DFS,True,3812,1537,399
"(29,21)","(18,26)",c3,BFS,True,182,1045,270
"(29,21)","(18,26)",c3,Dijkstra,True,175,567,280
"(29,21)","(18,26)",c4,DFS,True,3790,1537,399
"(29,21)","(18,26)",c4,BFS,True,144,1045,270
"(29,21)","(18,26)",c4,Dijkstra,True,135,515,253
"(18,0)","(24,19)",c1,DFS,True,2050,808,206
"(18,0)","(24,19)",c1,BFS,True,250,2148,551
"(18,0)","(24,19)",c1,Dijkstra,True,250,1074,535
"(18,0)","(24,19)",c2,DFS,True,2080,808,206
"(18,0)","(24,19)",c2,BFS,True,280,2148,551
"(18,0)","(24,19)",c2,Dijkstra,True,280,1027,506
"(18,0)","(24,19)",c3,DFS,True,2065,808,206
"(18,0)","(24,19)",c3,BFS,True,259,2148,551
